plr,cluster,distance,name
01011101,0,0.586683636448761,Stülerstraße
01011102,0,0.5814648179537928,Großer Tiergarten
01011103,0,0.45648157728591593,Lützowstraße
01011104,0,0.3520124895877553,Körnerstraße
01011105,0,0.5666521347137029,Nördlicher Landwehrkanal
01011201,0,0.5979660066433723,Wilhelmstraße
01011202,0,0.5851678354356944,Unter den Linden Nord
01011203,2,0.7293989517562848,Unter den Linden Süd
01011204,3,0.6972314361447235,Leipziger Straße
01011301,0,0.3208060780280115,Charitéviertel
01011302,0,0.3829167555227782,Oranienburger Straße
01011303,0,0.4801234661816576,Alexanderplatzviertel
01011304,3,0.3510886554912759,Karl-Marx-Allee
01011305,3,0.5151843847294374,Heine-Viertel West
01011306,0,0.40759373873307986,Heine-Viertel Ost
01011401,0,0.33037431550981516,Invalidenstraße
01011402,0,0.320065637581892,Arkonaplatz
01022101,0,0.3533703281096442,Huttenkiez
01022102,0,0.2648697190570013,Beusselkiez
01022103,0,0.4882809549084816,Westhafen
01022104,0,0.24985969358674373,Emdener Straße
01022105,0,0.30828931265697707,Zwinglistraße
01022106,3,0.3007097527746821,Elberfelder Straße
01022201,0,0.26033147666635886,Stephankiez
01022202,1,0.36229680651008256,Heidestraße
01022203,0,0.4041701172941883,Lübecker Straße
01022204,3,0.4623069073476254,Thomasiusstraße
01022205,0,0.5638371694914532,Zillesiedlung
01022206,0,0.4773846228022008,Lüneburger Straße
01022207,0,0.5794369308376114,Hansaviertel
01033101,0,0.2855857102238444,Soldiner Straße
01033102,0,0.3011983085724489,Gesundbrunnen
01033201,1,0.5477613043481813,Brunnenstraße
01033202,1,0.2146095453011676,Humboldthain Süd
01033203,0,0.29072949765373507,Humboldthain Nordwest
01044101,0,0.2400069678428725,Rehberge
01044102,1,0.2700816370342504,Schillerpark
01044103,0,0.2504834742978166,Westliche Müllerstraße
01044201,0,0.33182473111023575,Reinickendorfer Straße
01044202,0,0.30848385038329235,Sparrplatz
01044203,0,0.2807759284226715,Leopoldplatz
02010101,0,0.29953993855035205,Askanischer Platz
02010102,3,0.4078275182061177,Mehringplatz
02010103,0,0.5229043590665166,Moritzplatz
02010104,1,0.38780714505032077,Wassertorplatz
02020201,0,0.35251167759076146,Gleisdreieck/Entwicklungsgebiet
02020202,0,0.26003354067536016,Rathaus Yorckstraße
02020203,0,0.31444823521104354,Viktoriapark
02020204,0,0.22330980439355805,Urbanstraße
02020205,0,0.3771170958682333,Chamissokiez
02020206,0,0.3527158048217336,Graefekiez
02030301,0,0.37944938501398623,Oranienplatz
02030302,0,0.30572302435248594,Lausitzer Platz
02030401,0,0.28682745080156663,Reichenberger Straße
02030402,0,0.2976636074453015,Wrangelkiez
02040501,3,0.3075902602445047,Barnimkiez
02040502,3,0.39830242725767956,Friedenstraße
02040503,0,0.4995995125192311,Richard-Sorge-Viertel
02040701,3,0.36035355514680417,Andreasviertel
02040702,0,0.3761356397401102,Weberwiese
02040703,0,0.6846114047203063,Wriezener Bahnhof/Entwicklungsgebiet
02050601,0,0.3162771187913267,Hausburgviertel
02050602,0,0.30124824195669886,Samariterviertel
02050801,0,0.3087194093205332,Traveplatz
02050802,0,0.31909194532560303,Boxhagener Platz
02050803,0,0.3063340377912675,Stralauer Kiez
02050804,3,0.6170742830526889,Stralauer Halbinsel
03010101,0,0.4236105283209604,Bucher Forst
03010102,1,0.16950534096443848,Buch
03010104,0,0.42188690128745293,Lietzengraben
03020203,0,0.48803718331150364,Blankenfelde
03020209,2,0.2255052811241995,Niederschönhausen
03020210,2,0.24904156875322048,Herthaplatz
03020307,1,0.3178761111496873,Buchholz
03030405,3,0.28332059776455076,Karow Nord
03030406,3,0.22586951231725566,Alt-Karow
03030711,1,0.2669490029235541,Blankenburg
03030715,3,0.5768092302553496,Heinersdorf
03030716,3,0.3645913498798135,Märchenland
03040508,2,0.6490913491588476,Rosenthal
03040512,2,0.1376411500068611,Wilhelmsruh
03040513,1,0.4651120169690394,Schönholz
03040614,3,0.20619561631629824,Pankow Zentrum
03040818,3,0.2523543498918316,Pankow Süd
03050919,3,0.16686633948415794,Gustav-Adolf-Straße
03050920,3,0.32122526031823817,Weißer See
03050923,0,0.2702791980227269,Weißenseer Spitze
03050924,0,0.3204661783018681,Behaimstraße
03050925,3,0.2500643257256804,Komponistenviertel Weißensee
03051017,0,0.5592617148754926,Rennbahnstraße
03051021,3,0.21306096319936263,Buschallee
03051022,3,0.15134855918359652,Hansastraße
03061126,0,0.2924476059610323,Arnimplatz
03061131,0,0.3280580893315906,Falkplatz
03061227,1,0.39391393460576996,Humannplatz
03061228,1,0.4178639526441565,Erich-Weinert-Straße
03061332,0,0.4549325309662145,Helmholtzplatz
03061429,3,0.39543371405794175,Greifswalder Straße
03061430,3,0.22032391976136306,Volkspark Prenzlauer Berg
03061434,1,0.5540896660471746,Anton-Saefkow-Park
03061435,0,0.6098331756845753,Conrad-Blenkle-Straße
03061441,1,0.6054708406738315,Eldenaer Straße
03071536,0,0.3363051779897005,Teutoburger Platz
03071537,0,0.537789402379301,Kollwitzplatz
03071633,1,0.3135391987848359,Thälmannpark
03071638,0,0.38059389374106545,Winsstraße
03071639,3,0.58286051930375,Bötzowstraße
04010101,3,0.2610477116688344,Jungfernheide
04010102,0,0.4095288693600586,Plötzensee
04010103,3,0.2172533055655325,Paul-Hertz-Siedlung
04020204,0,0.5510846169332296,Olympiagelände
04020205,2,0.19431519030261687,Siedlung Ruhleben
04020206,2,0.3599212641958116,Angerburger Allee
04020207,2,0.15924783563447475,Flatowallee
04020208,2,0.19978685006628366,Kranzallee
04020209,2,0.47909928032147764,Eichkamp
04020310,0,0.4867364947802567,Park Ruhwald
04020311,2,0.15554100503704066,Reichsstraße
04020312,2,0.13809407736069979,Branitzer Platz
04020313,2,0.25173181051437643,Königin-Elisabeth-Straße
04020314,0,1.0,Messegelände
04030415,3,0.31042182400824836,Schloßgarten
04030416,3,0.21759489633017343,Klausenerplatz
04030417,3,0.22186594006404478,Schloßstraße
04030518,1,0.3101525740509954,Tegeler Weg
04030519,0,0.3619035203685119,Kaiserin-Augusta-Allee
04030620,3,0.14804204014270758,Alt-Lietzow
04030621,0,0.2534675115442208,Spreestadt
04030622,3,0.33123978754541816,Richard-Wagner-Straße
04030623,3,0.41281656445758674,Ernst-Reuter-Platz
04030724,2,0.17872556484121452,Lietzensee
04030725,2,0.2900978672644804,Amtsgerichtsplatz
04030726,2,0.131922601563997,Droysenstraße
04030827,0,0.5229197774350574,Karl-August-Platz
04030828,2,0.5439468389934696,Savignyplatz
04030929,2,0.19346857537728732,Hindemithplatz
04030930,2,0.6048744611836843,George-Grosz-Platz
04030931,0,0.5905498283268693,Breitscheidplatz
04031032,2,0.23376548411464956,Halensee
04041133,0,0.7541424430181007,Güterbahnhof Grunewald
04041134,2,0.16407519275173232,Bismarckallee
04041135,2,0.20317942109921114,Hundekehle
04041136,2,0.2065702867625814,Hagenplatz
04041137,3,0.23362511284055412,Flinsberger Platz
04041238,2,0.14919158756214235,Kissinger Straße
04041239,0,0.5856878592956263,Stadion Wilmersdorf
04041240,2,0.22938278687211594,Messelpark
04041241,2,0.15304170833113068,Breite Straße
04041342,3,0.23260022484095308,Schlangenbader Straße
04041343,2,0.13108653028452052,Binger Straße
04041344,2,0.10228581409099453,Rüdesheimer Platz
04051445,2,0.19198263281648398,Eisenzahnstraße
04051446,2,0.11092135244391832,Preußenpark
04051447,2,0.14233263524669285,Ludwigkirchplatz
04051448,2,0.12851892732759979,Schaperstraße
04051549,3,0.4398418550489723,Rathaus Wilmersdorf
04051550,2,0.17106312170719287,Leon-Jessel-Platz
04051551,2,0.322144429953899,Brabanter Platz
04051652,2,0.11507056006468246,Nikolsburger Platz
04051653,2,0.12252296284199042,Prager Platz
04051654,2,0.15935617452925407,Wilhelmsaue
04051655,2,0.21131687576869018,Babelsberger Straße
04051656,2,0.15211046528486666,Hildegardstraße
04061757,0,0.6279194415914261,Forst Grunewald
05010101,1,0.20807266075344424,Hakenfelde Nord
05010102,3,0.20815342139412454,Goltzstraße
05010103,3,0.13645539576217022,Amorbacher Weg
05010204,3,0.24852613173167803,Griesingerstraße
05010205,1,0.32857791991140495,An der Tränke
05010206,3,0.1762971195277048,Gütersloher Weg
05010207,1,0.17650597827245018,Darbystraße
05010208,1,0.16138312294619622,Germersheimer Platz
05010209,3,0.22187138350113966,An der Kappe
05010310,1,0.18210608914490609,Eckschanze
05010311,1,0.4691423072267527,Eiswerder
05010312,0,0.25014646927679024,Kurstraße
05010313,0,0.2628100941265983,Ackerstraße
05010314,3,0.23055587951082956,Carl-Schurz-Straße
05010339,0,0.44759568244455317,Freiheit
05020415,0,0.4317336592061184,Isenburger Weg
05020416,1,0.23012877504567808,Am Heideberg
05020417,1,0.5288911313926778,Staakener Straße
05020418,1,0.16916082662689838,Spandauer Straße
05020419,1,0.2142754461993078,Magistratsweg
05020420,0,0.38085137899198607,Werkstraße
05020521,1,0.2563504737054013,Döberitzer Weg
05020522,1,0.15041653833860524,Pillnitzer Weg
05020523,1,0.20984254422590273,Maulbeerallee
05020524,1,0.26906424373248927,Weinmeisterhornweg
05020625,1,0.1715560814901765,Borkumer Straße
05020626,1,0.15662954699346335,Adamstraße
05020627,1,0.3231738812911288,Tiefwerder
05020628,1,0.3120191790609634,Graetschelsteig
05020629,2,0.3683502224159312,Börnicker Straße
05030730,1,0.6411437297586919,Zitadellenweg
05030731,1,0.3428078379278209,Gartenfelder Straße
05030832,1,0.11588855117560075,Rohrdamm
05030833,0,0.6240846777040147,Motardstraße
05040934,3,0.6055121270996738,Alt-Gatow
05040935,0,0.5725985212972524,Groß-Glienicker Weg
05040936,3,0.25804556067990647,Jägerallee
05040937,3,0.6256542492226285,Kladower Damm
05040938,3,0.26737093106652354,Kafkastraße
06010101,2,0.14280428629474504,Fichtenberg
06010102,2,0.19024525089442318,Schloßstraße
06010103,2,0.19012895423888615,Markelstraße
06010204,3,0.1211448110735282,Munsterdamm
06010205,3,0.1355228887231198,Südende
06010206,3,0.1456972928792686,Stadtpark
06010207,3,0.16730318743768546,Mittelstraße
06010208,3,0.3059860421323721,Bergstraße
06010209,3,0.16768828977447536,Feuerbachstraße
06010210,3,0.16995775909633776,Bismarckstraße
06020301,3,0.17908673975635062,Alt-Lankwitz
06020302,3,0.2492022753633849,Komponistenviertel Lankwitz
06020303,3,0.12866697474212563,Lankwitz Kirche
06020304,3,0.13027218014341893,Kaiser-Wilhelm-Straße
06020305,1,0.2894124790134085,Gemeindepark Lankwitz
06020306,1,0.3678281635821129,Lankwitz Süd
06020407,1,0.20334685908979366,Thermometersiedlung
06020408,3,0.33270551985198693,Lichterfelde Süd
06020409,2,0.22355437502876815,Königsberger Straße
06020410,3,0.34059271071567315,Oberhofer Platz
06020411,3,0.2032861822214942,Schütte-Lanz-Straße
06030501,3,0.27962818241862797,Berlepschstraße
06030502,3,0.1654862920873708,Zehlendorf Süd
06030503,3,0.33777082807103764,Zehlendorf Mitte
06030504,3,0.34214013651529973,Teltower Damm
06030605,2,0.10441225644954215,Botanischer Garten
06030606,2,0.1747167180860057,Hindenburgdamm
06030607,3,0.3456981547729883,Goerzwerke
06030608,3,0.32870270657977413,Schweizer Viertel
06030609,2,0.09954310725569274,Augustaplatz
06030610,2,0.13681636049882764,Lichterfelde West
06040701,2,0.16018771997373718,Wannsee
06040702,2,0.3271548478037529,Düppel
06040703,2,0.1760506395642955,Nikolassee
06040804,2,0.2035996391128583,Krumme Lanke
06040805,2,0.20039950843455978,Fischerhüttenstraße
06040806,2,0.17495991699388658,Fischtal
06040807,2,0.19113655888762254,Zehlendorf Eiche
06040808,2,0.3116741671190675,Hüttenweg
06040809,2,0.15369775514729253,Thielallee
06040810,2,0.17016018393881405,Dahlem
07010101,0,0.57842742345636,Wittenbergplatz/Viktoria-Luise-Platz
07010102,0,0.49528517196046457,Nollendorfplatz
07010103,3,0.33873827350526403,Barbarossaplatz
07010104,0,0.2332464713038633,Dennewitzplatz
07020201,2,0.12039807775941284,Bayerischer Platz
07020202,2,0.5824212276730663,Volkspark (Rudolf-Wilde-Park)
07020203,0,0.5024031823848301,Kaiser-Wilhelm-Platz
07020204,0,0.24515004545330696,Schöneberger Insel
07030301,2,0.12945324483402024,Friedenau
07030302,2,0.13472922414945998,Ceciliengärten
07030303,3,0.20498684112835905,Grazer Platz
07040401,3,0.21891513381301006,Neu-Tempelhof
07040402,3,0.3402628584158166,Lindenhofsiedlung
07040403,3,0.14639996652672507,Manteuffelstraße
07040404,3,0.20748152112868606,Marienhöhe
07040405,3,0.25072444385796194,Rathaus Tempelhof
07040406,0,0.2648008172991537,Germaniagarten
07050501,3,0.22426673566708136,Rathausstraße
07050502,1,0.17039294781969788,Fritz-Werner-Straße
07050503,1,0.15028029633709866,Eisenacher Straße
07050504,3,0.22035387495623676,Imbrosweg
07050505,3,0.1854092072184426,Hundsteinweg
07050506,3,0.32673263243537826,Birnhornweg
07060601,3,0.14424061241521827,Marienfelder Allee Nordwest
07060602,3,0.521122497203409,Kirchstraße
07060603,1,0.25773333213427224,Marienfelde Nordost
07060604,1,0.19011425163649934,Marienfelde Süd
07070701,1,0.31797918132072905,Kettinger Straße/Schillerstraße
07070702,3,0.17666684967251423,Alt-Lichtenrade/Töpchiner Weg
07070703,1,0.24120288739178591,John-Locke-Straße
07070704,1,0.1987646872978781,Nahariyastraße
07070705,3,0.19634965635962953,Franziusweg/Rohrbachstraße
07070706,3,0.18650123503566865,Horstwalder Straße/Paplitzer Straße
07070707,3,0.2694923876613297,Wittelsbacherstraße
08010115,0,0.5376386828896287,Hasenheide
08010116,0,0.2801502831827759,Wissmannstraße
08010117,0,0.2833618728035111,Schillerpromenade
08010118,0,0.3012832459822474,Silbersteinstraße
08010211,0,0.292547175254662,Flughafenstraße
08010212,1,0.5503018072846536,Rollberg
08010213,0,0.27955381755009906,Körnerpark
08010214,0,0.2752045331619388,Glasower Straße
08010301,0,0.4542764263778718,Reuterkiez
08010302,1,0.19027601471099365,Bouchéstraße
08010303,0,0.33629281729512195,Donaustraße
08010404,0,0.2755442807504908,Rixdorf
08010405,1,0.4577648939690818,Hertzbergplatz
08010406,0,0.29557975165092043,Treptower Straße Nord
08010407,0,0.48623860035420924,Gewerbegebiet Ederstraße
08010508,1,0.328719548177962,Weiße Siedlung
08010509,1,0.3335919511554354,Schulenburgpark
08010510,0,0.4353208395787525,Gewerbegebiet Köllnische Heide
08020619,0,0.5332937056837725,Buschkrugallee Nord
08020620,1,0.14522339622832312,Tempelhofer Weg
08020621,1,0.33362130138267143,Mohriner Allee Nord
08020622,3,0.14285314561688428,Parchimer Allee
08020623,1,0.3246900654924531,Ortolanweg
08020624,0,0.5506930216623183,Britzer Garten
08020625,0,0.4323121262932508,Handwerker-Siedlung
08020726,1,0.18458331403439213,Buckow West
08020727,1,0.19360854957452397,Buckow Mitte
08020728,1,0.1626235653637513,Buckow Ost
08030829,1,0.1981774236457114,Gropiusstadt Nord
08030830,1,0.276349249686545,Gropiusstadt Süd
08030831,1,0.17310506927083447,Gropiusstadt Ost
08040932,1,0.2729920763222204,Goldhähnchenweg
08040933,1,0.19694363011376909,Vogelviertel Süd
08040934,1,0.17920378637566114,Vogelviertel Nord
08041035,3,0.20707057796526243,Blumenviertel
08041036,1,0.20650355083940844,Zittauer Straße
08041037,3,0.2639604159198913,Alt-Rudow
08041038,1,0.22966524314805228,Waßmannsdorfer Chaussee
08041039,3,0.27613637451660883,Frauenviertel
08041040,1,0.18088108650156204,Waltersdorfer Chaussee Ost
09010101,1,0.304777939568676,Elsenstraße
09010102,3,0.7149815668525603,Am Treptower Park Nord
09010201,3,0.29965866712290606,Am Treptower Park Süd
09010202,3,0.23960540285158818,Köpenicker Landstraße
09010301,3,0.2576948832559532,Baumschulenstraße
09010302,1,0.565207754193431,Späthsfelde
09010401,3,0.2775108200959444,Johannisthal West
09010402,3,0.18550291801005764,Johannisthal Ost
09020501,0,0.27574834496828493,Oberschöneweide West
09020502,3,0.27836346655326466,Oberschöneweide Ost
09020601,0,0.32085463838883993,Schnellerstraße
09020602,3,0.37553040164873164,Oberspree
09020701,0,0.5649049669560117,Adlershof West
09020702,3,0.14908277629537187,Adlershof Ost
09020801,3,0.17205172398643398,Spindlersfeld
09020802,1,0.44138887302403923,Köllnische Vorstadt
09030901,3,0.5421397866770199,Dorf Altglienicke
09030902,1,0.2507453402506088,Wohngebiet II
09030903,3,0.40388536839697625,Kölner Viertel
09031001,1,0.2642380382713278,Bohnsdorf
09031101,3,0.3363417634240684,Grünau
09031201,3,0.4304281779568461,Karolinenhof
09031202,1,0.28898607218747985,Schmöckwitz/Rauchfangswerder
09041301,3,0.23509260005086463,Kietzer Feld/Nachtheide
09041302,2,0.19195180878200507,Wendenschloß
09041401,3,0.32939108196176226,Allende I
09041402,3,0.3837695309135005,Allende II
09041501,3,0.2482881547462224,Altstadt Kietz
09041601,0,0.5216216316030722,Müggelheim
09051701,3,0.33242150956082583,Hirschgarten
09051702,3,0.3180728634894643,Bölschestraße
09051801,3,0.28585160088988126,Rahnsdorf/Hessenwinkel
09051901,3,0.1825571044757244,Dammvorstadt
09052001,3,0.2090680741777002,Köpenick Nord
10010101,1,0.4426998866306797,Marzahn West
10010102,0,0.3256899745550343,Havemannstraße
10010203,0,0.41493989787882885,Gewerbegebiet Bitterfelder Straße
10010204,1,0.36767928269541916,Wuhletalstraße
10010205,0,0.3035379933502786,Marzahn Ost
10010206,3,0.3284280893218683,Ringkolonnaden
10010207,3,0.23335046800609874,Marzahner Promenade
10010308,0,0.3599341187127533,Marzahner Chaussee
10010309,3,0.21242011653414203,Springpfuhl
10010310,1,0.24486907586566606,Alt-Marzahn
10010311,3,0.2157978024780758,Landsberger Tor
10020412,3,0.2818143469571457,Alte Hellersdorfer Straße
10020413,3,0.22859859399699717,Gut Hellersdorf
10020414,3,0.3396891191314835,Helle Mitte
10020415,3,0.4969823043493794,Hellersdorfer Promenade
10020416,0,0.5769840129290202,Böhlener Straße
10020517,3,0.20852634235081702,Adele-Sandrock-Straße
10020518,3,0.363649302654547,Schleipfuhl
10020519,0,0.46070762696026824,Boulevard Kastanienallee
10020620,3,0.26295530565778175,Kaulsdorf Nord II
10020621,3,0.6850135795139749,Gelbes Viertel
10020622,3,0.22524861851615952,Kaulsdorf Nord I
10020623,3,0.22117919703928407,Rotes Viertel
10030724,3,0.17781947957297028,Oberfeldstraße
10030725,0,0.528961897100047,Buckower Ring
10030726,1,0.24802080802802653,Alt-Biesdorf
10030727,1,0.21044287847912635,Biesdorf Süd
10040828,3,0.2768347997913075,Kaulsdorf Nord
10040829,2,0.17842049451125616,Alt-Kaulsdorf
10040830,1,0.34131878542068694,Kaulsdorf Süd
10040931,0,0.5750247844322683,Mahlsdorf Nord
10040932,0,0.5417202652154529,Alt-Mahlsdorf
10040933,1,0.23309359084133796,Mahlsdorf Süd
11010101,0,0.4423567974185319,Dorf Malchow
11010102,0,0.3946362843201896,Dorf Wartenberg
11010103,0,0.37628936039154526,Dorf Falkenberg
11010204,3,0.257588332463488,Falkenberg Ost
11010205,0,0.47005668549178464,Falkenberg West
11010206,3,0.19715260655777458,Wartenberg Süd
11010207,3,0.2341944797605331,Wartenberg Nord
11010308,3,0.23411628900079567,Zingster Straße Ost
11010309,0,0.45994542378524605,Zingster Straße West
11010310,3,0.49251883266233804,Mühlengrund
11020411,3,0.4484172384082391,Malchower Weg
11020412,3,0.2094203099660576,Hauptstraße
11020513,3,0.2782910989113156,Orankesee
11020514,3,0.21363578763151156,Große-Leege-Straße
11020515,3,0.3075162409526487,Landsberger Allee
11020516,3,0.1767478590900318,Weiße Taube
11030617,3,0.426013300443158,Hohenschönhausener Straße
11030618,3,0.1889731539698162,Fennpfuhl West
11030619,3,0.3132670406837549,Fennpfuhl Ost
11030720,0,0.3414294060699525,Herzbergstraße
11030721,3,0.5785106506758798,Rüdigerstraße
11030824,1,0.2739372573658914,Frankfurter Allee Süd
11040925,0,0.3234731547806013,Victoriastadt
11040926,0,0.24575057109600718,Weitlingstraße
11041022,1,0.656173559341591,Rosenfelder Ring
11041023,1,0.3693646980708061,Gensinger Straße
11041027,3,0.4396577770404148,Tierpark
11041128,3,0.26744487346633117,Sewanstraße
11051229,0,0.49004883707414937,Rummelsburg
11051330,3,0.4004859942568335,Karlshorst West
11051331,3,0.1448026175003366,Karlshorst Nord
11051332,3,0.33742270691231696,Karlshorst Süd
12103115,1,0.20015506994455876,Breitkopfbecken
12103116,1,0.4584834722784078,Hausotterplatz
12103117,0,0.540348212711176,Letteplatz
12103218,1,0.20285376444581205,Teichstraße
12103219,1,0.44142505810321075,Schäfersee
12103220,1,0.1597091160514749,Humboldtstraße
12214125,0,0.43393909421579047,Waldidyll/Flughafensee
12214126,3,0.11713064596161302,Tegel Süd
12214421,1,0.21004970342725604,Reinickes Hof
12214422,0,0.5540047443120387,Klixstraße
12214423,1,0.18079717607900636,Mellerbogen
12214424,1,0.45854056284460704,Scharnweberstraße
12214527,2,0.2700723890729267,Alt-Tegel
12214528,3,0.7697254994140439,Tegeler Forst
12224229,3,0.24637759966182388,Konradshöhe/Tegelort
12224230,3,0.23169516907679508,Heiligensee
12231101,2,0.3288199321861412,Hermsdorf
12231102,2,0.21643886371523344,Frohnau
12301203,0,0.5088384357993301,Wittenau Süd
12301204,3,0.2025728353404494,Wittenau Nord
12301205,3,0.16427461035511337,Waidmannslust
12301206,3,0.21733725061676615,Lübars
12302107,1,0.2464312986808479,Schorfheidestraße
12302108,1,0.20895292311671446,Märkisches Zentrum
12302109,1,0.21644340202876625,Treuenbrietzener Straße
12302110,1,0.2212207949773088,Dannenwalder Weg
12302211,1,0.23919236353327492,Lübarser Straße
12302212,3,0.20525871960369427,Rollbergesiedlung
12304313,1,0.15367475335653863,Borsigwalde
12304314,3,0.1633709439895547,Ziekowstraße/Freie Scholle
